id,daireKurul,esasNo,kararNo,kararTarihi
1083604200,10. Daire,2020/6752,2024/3297,23.09.2024
1083604100,10. Daire,2021/5658,2024/3299,23.09.2024
1083604000,10. Daire,2021/5677,2024/3298,23.09.2024
1084606300,10. Daire,2021/5629,2024/3300,23.09.2024
1084606200,10. Daire,2021/4809,2024/3290,23.09.2024
1084636100,3. Daire,2023/4847,2024/4770,23.09.2024
1085120600,3. Daire,2023/2489,2024/4768,23.09.2024
1085120300,3. Daire,2024/2963,2024/4789,23.09.2024
1085821000,4. Daire,2023/4865,2024/4945,23.09.2024
1091372800,3. Daire,2023/5307,2024/4772,23.09.2024
1091372600,3. Daire,2022/1636,2024/4783,23.09.2024
1091373000,3. Daire,2021/397,2024/4795,23.09.2024
1081023400,9. Daire,2024/5521,2024/4156,19.09.2024
1080868900,10. Daire,2023/3224,2024/3209,19.09.2024
1082155300,10. Daire,2023/3866,2024/3205,19.09.2024
1086183600,6. Daire,2024/2527,2024/4778,19.09.2024
1087362800,13. Daire,2021/4240,2024/3452,19.09.2024
1082588900,10. Daire,2023/3674,2024/3206,19.09.2024
1083613300,İdare Dava Daireleri Kurulu,2023/3250,2024/1702,19.09.2024
1084908200,İdare Dava Daireleri Kurulu,2024/1615,2024/1700,19.09.2024
1084610600,13. Daire,2019/3731,2024/3418,19.09.2024
1084905800,10. Daire,2023/1772,2024/3241,19.09.2024
1084907800,İdare Dava Daireleri Kurulu,2023/2645,2024/1701,19.09.2024
1087850600,3. Daire,2023/656,2024/4767,19.09.2024
1088209700,6. Daire,2022/3675,2024/4781,19.09.2024
1087853200,3. Daire,2023/5604,2024/4741,19.09.2024
1081981800,10. Daire,2024/4729,2024/3080,18.09.2024
1081961400,10. Daire,2024/4392,2024/3061,18.09.2024
1081981300,10. Daire,2024/3025,2024/3059,18.09.2024
1081981200,10. Daire,2024/4659,2024/3075,18.09.2024
1082022800,10. Daire,2024/1597,2024/3078,18.09.2024
1082588800,10. Daire,2024/1121,2024/3060,18.09.2024
1084625700,2. Daire,2024/2497,2024/4150,18.09.2024
1084907700,İdare Dava Daireleri Kurulu,2023/426,2024/1680,18.09.2024
1084907600,İdare Dava Daireleri Kurulu,2024/80,2024/1682,18.09.2024
1085753200,4. Daire,2024/1797,2024/4813,18.09.2024
1085753300,4. Daire,2024/1572,2024/4834,18.09.2024
1085926500,4. Daire,2024/2829,2024/4832,18.09.2024
1088209300,6. Daire,2021/1579,2024/4743,18.09.2024
1088209100,6. Daire,2021/9180,2024/4744,18.09.2024
1087850500,3. Daire,2024/5089,2024/4692,18.09.2024
1087850700,3. Daire,2023/6388,2024/4706,18.09.2024
1088209400,6. Daire,2021/7795,2024/4745,18.09.2024
1087853100,3. Daire,2024/372,2024/4705,18.09.2024
1088490800,3. Daire,2023/10681,2024/4710,18.09.2024
1088524100,12. Daire,2021/6634,2024/3585,18.09.2024
1090562900,2. Daire,2024/1799,2024/4132,18.09.2024
1090931800,6. Daire,2020/4574,2024/4742,18.09.2024
1081966500,10. Daire,2020/4768,2024/3004,17.09.2024
1087536200,3. Daire,2022/3036,2024/4657,17.09.2024
1082899800,10. Daire,2024/3834,2024/3028,17.09.2024
1084625500,3. Daire,2021/2541,2024/4661,17.09.2024
1085083900,3. Daire,2022/1525,2024/4663,17.09.2024
1085083800,3. Daire,2022/4013,2024/4677,17.09.2024
1085088500,2. Daire,2023/3972,2024/4092,17.09.2024
1085565500,3. Daire,2024/3400,2024/4636,17.09.2024
1085083600,3. Daire,2023/4310,2024/4647,17.09.2024
1085083700,3. Daire,2022/2578,2024/4658,17.09.2024
1085089000,2. Daire,2023/3969,2024/4090,17.09.2024
1085088700,2. Daire,2023/3970,2024/4091,17.09.2024
1088209200,6. Daire,2022/4575,2024/4707,17.09.2024
1089527900,13. Daire,2019/3536,2024/3354,17.09.2024
1089544900,3. Daire,2023/4812,2024/4646,17.09.2024
1089912600,2. Daire,2023/4075,2024/4084,17.09.2024
1089912700,2. Daire,2023/4224,2024/4081,17.09.2024
1090011600,6. Daire,2024/6022,2024/4680,17.09.2024
1090011500,6. Daire,2022/4699,2024/4692,17.09.2024
1090563000,2. Daire,2024/2343,2024/4070,17.09.2024
1090562700,6. Daire,2021/554,2024/4723,17.09.2024
1090942600,2. Daire,2023/3971,2024/4093,17.09.2024
1091397100,6. Daire,2024/3673,2024/4701,17.09.2024
1091422600,6. Daire,2024/3082,2024/4700,17.09.2024
1079169400,10. Daire,2022/5367,2024/2929,16.09.2024
1081966800,10. Daire,2023/872,2024/2973,16.09.2024
1082022900,10. Daire,2024/1477,2024/2965,16.09.2024
1082022400,10. Daire,2024/2837,2024/2919,16.09.2024
1086493900,3. Daire,2023/5199,2024/4593,16.09.2024
1086492100,3. Daire,2023/5620,2024/4600,16.09.2024
1086492200,3. Daire,2023/5619,2024/4599,16.09.2024
1086494000,3. Daire,2023/5507,2024/4585,16.09.2024
1086225000,6. Daire,2024/5227,2024/4658,16.09.2024
1086180300,3. Daire,2023/10182,2024/4578,16.09.2024
1086191200,13. Daire,2024/1857,2024/3337,16.09.2024
1086209200,6. Daire,2024/5277,2024/4661,16.09.2024
1087360800,6. Daire,2024/5270,2024/4659,16.09.2024
1087360900,6. Daire,2024/5275,2024/4660,16.09.2024
1087376500,6. Daire,2024/5331,2024/4657,16.09.2024
1087536300,3. Daire,2022/3195,2024/4618,16.09.2024
1083605100,10. Daire,2023/6684,2024/2977,16.09.2024
1085574700,13. Daire,2022/3451,2024/3348,16.09.2024
1090348400,3. Daire,2023/5374,2024/4592,16.09.2024
1090965300,3. Daire,2023/6128,2024/4604,16.09.2024
1091375200,6. Daire,2024/5282,2024/4662,16.09.2024
1091375300,6. Daire,2024/5286,2024/4663,16.09.2024
1080739500,8. Daire,2021/1246,2024/4515,13.09.2024
1082692000,8. Daire,2024/4933,2024/4528,13.09.2024
1082691000,8. Daire,2024/2138,2024/4514,13.09.2024
1080744400,8. Daire,2024/4243,2024/4458,12.09.2024
1080744500,8. Daire,2024/4324,2024/4459,12.09.2024
1080739700,8. Daire,2023/222,2024/4454,12.09.2024
1080743400,8. Daire,2024/4096,2024/4455,12.09.2024
1080743200,8. Daire,2024/4142,2024/4456,12.09.2024
1080743900,8. Daire,2024/4537,2024/4460,12.09.2024
1080743700,8. Daire,2024/4950,2024/4457,12.09.2024
1084907900,İdare Dava Daireleri Kurulu,2023/2394,2024/1481,12.09.2024
1085088900,2. Daire,2021/2435,2024/3991,12.09.2024
1070295400,Vergi Dava Daireleri Kurulu,2023/49,2024/794,11.09.2024
1070295500,Vergi Dava Daireleri Kurulu,2023/88,2024/795,11.09.2024
1070298200,Vergi Dava Daireleri Kurulu,2023/1718,2024/750,11.09.2024
1070301500,Vergi Dava Daireleri Kurulu,2024/148,2024/749,11.09.2024
1070356500,Vergi Dava Daireleri Kurulu,2023/214,2024/816,11.09.2024
1070356600,Vergi Dava Daireleri Kurulu,2023/215,2024/817,11.09.2024
1070356700,Vergi Dava Daireleri Kurulu,2023/223,2024/815,11.09.2024
1070356800,Vergi Dava Daireleri Kurulu,2023/505,2024/752,11.09.2024
1070296800,Vergi Dava Daireleri Kurulu,2023/179,2024/810,11.09.2024
1070375800,Vergi Dava Daireleri Kurulu,2023/517,2024/776,11.09.2024
1070375700,Vergi Dava Daireleri Kurulu,2023/516,2024/775,11.09.2024
1070376100,Vergi Dava Daireleri Kurulu,2023/1748,2024/743,11.09.2024
1070377200,Vergi Dava Daireleri Kurulu,2024/259,2024/788,11.09.2024
1070301800,Vergi Dava Daireleri Kurulu,2024/372,2024/751,11.09.2024
1070302000,Vergi Dava Daireleri Kurulu,2024/773,2024/753,11.09.2024
1070302100,Vergi Dava Daireleri Kurulu,2024/787,2024/745,11.09.2024
1070624800,Vergi Dava Daireleri Kurulu,2023/1017,2024/781,11.09.2024
1070624700,Vergi Dava Daireleri Kurulu,2023/845,2024/784,11.09.2024
1070620800,Vergi Dava Daireleri Kurulu,2022/1523,2024/777,11.09.2024
1070623400,Vergi Dava Daireleri Kurulu,2023/54,2024/780,11.09.2024
1070626700,Vergi Dava Daireleri Kurulu,2024/591,2024/783,11.09.2024
1076613200,8. Daire,2021/2048,2024/4407,11.09.2024
1076955800,Vergi Dava Daireleri Kurulu,2024/479,2024/754,11.09.2024
1076955900,Vergi Dava Daireleri Kurulu,2024/665,2024/755,11.09.2024
1076955700,Vergi Dava Daireleri Kurulu,2023/1649,2024/757,11.09.2024
1076955600,Vergi Dava Daireleri Kurulu,2024/683,2024/756,11.09.2024
1076955500,Vergi Dava Daireleri Kurulu,2024/340,2024/758,11.09.2024
1079149300,10. Daire,2021/3789,2024/2840,11.09.2024
1078917800,Vergi Dava Daireleri Kurulu,2023/290,2024/772,11.09.2024
1078917700,Vergi Dava Daireleri Kurulu,2024/662,2024/787,11.09.2024
1078917900,Vergi Dava Daireleri Kurulu,2024/759,2024/768,11.09.2024
1078917600,Vergi Dava Daireleri Kurulu,2024/661,2024/786,11.09.2024
1078917500,Vergi Dava Daireleri Kurulu,2023/938,2024/764,11.09.2024
1081251700,10. Daire,2024/1969,2024/2869,11.09.2024
1081251800,10. Daire,2024/4479,2024/2858,11.09.2024
1080864600,8. Daire,2023/5966,2024/4417,11.09.2024
1081966400,10. Daire,2020/6683,2024/2880,11.09.2024
1081824400,10. Daire,2024/4264,2024/2833,11.09.2024
1082171400,10. Daire,2024/4481,2024/2857,11.09.2024
1082171300,10. Daire,2024/4560,2024/2823,11.09.2024
1082180600,10. Daire,2024/4481,2024/2857,11.09.2024
1082180700,10. Daire,2024/4560,2024/2823,11.09.2024
1080781000,8. Daire,2024/2957,2024/4410,11.09.2024
1082710900,10. Daire,2024/4632,2024/2820,11.09.2024
1083164000,10. Daire,2020/1922,2024/2837,11.09.2024
1083163900,10. Daire,2020/6304,2024/2839,11.09.2024
1083322600,10. Daire,2024/3183,2024/2865,11.09.2024
1083611700,Vergi Dava Daireleri Kurulu,2023/230,2024/742,11.09.2024
1083611600,Vergi Dava Daireleri Kurulu,2024/626,2024/798,11.09.2024
1083611500,Vergi Dava Daireleri Kurulu,2023/626,2024/746,11.09.2024
1083611100,Vergi Dava Daireleri Kurulu,2024/425,2024/763,11.09.2024
1083611200,Vergi Dava Daireleri Kurulu,2023/407,2024/744,11.09.2024
1083611900,Vergi Dava Daireleri Kurulu,2024/625,2024/797,11.09.2024
1083611800,Vergi Dava Daireleri Kurulu,2023/627,2024/747,11.09.2024
1084471300,10. Daire,2020/5312,2024/2838,11.09.2024
1084606500,10. Daire,2021/6599,2024/2836,11.09.2024
1081970600,10. Daire,2020/853,2024/2799,10.09.2024
1082589600,10. Daire,2020/3086,2024/2778,10.09.2024
1081982600,10. Daire,2023/3587,2024/2718,09.09.2024
1081985200,10. Daire,2023/3405,2024/2719,09.09.2024
1082152600,10. Daire,2024/2344,2024/2715,09.09.2024
1082703900,10. Daire,2022/5386,2024/2716,09.09.2024
1082703800,10. Daire,2020/3311,2024/2717,09.09.2024
1082703700,10. Daire,2023/600,2024/2714,09.09.2024
1085768600,4. Daire,2024/2565,2024/4520,09.09.2024
1088497800,12. Daire,2024/4273,2024/3300,09.09.2024
1076612600,8. Daire,2022/7295,2024/4313,05.09.2024
1076612500,8. Daire,2022/2850,2024/4316,05.09.2024
1077727500,8. Daire,2023/1403,2024/4330,05.09.2024
1077727600,8. Daire,2022/3362,2024/4339,05.09.2024
1079062900,8. Daire,2022/1849,2024/4312,05.09.2024
1079062700,8. Daire,2022/1979,2024/4315,05.09.2024
1079849800,8. Daire,2022/5881,2024/4317,05.09.2024
1080684500,8. Daire,2023/2020,2024/4314,05.09.2024
